dataset,N,low_speed_frac,M4_c_full,M4_f_full,delta_full_pct,M4_c_cut,M4_f_cut,delta_cut_pct
HeLiPR,6,0.23229207452751807,0.04863983755749743,0.026054860094646956,-46.43308571117788,0.05199566856416915,0.0290732161015109,-44.085311518533665
Oxford,11,0.26945420301944883,0.34497442581785437,0.20626167109466034,-40.20957622998813,0.3933164102032963,0.23515197817412103,-40.213026440321585
nuScenes,20,0.14150217892847988,0.15129512055341038,0.1428489223106934,-5.582597913152975,0.1652306155793129,0.15312012722474708,-7.329445764094866
KITTI,3,0.0027113459399332593,0.1357272219718716,0.13235886347204734,-2.4817118120359916,0.1359417790673974,0.13256859816122615,-2.4813423285411695
KITTI-360,10,0.0445819906624552,0.2279121002931378,0.2278005876223672,-0.04892792906877608,0.23204963556883873,0.23196363431979805,-0.03706157470571014
Boreas,3,0.21118574766355142,0.01132271502974389,0.022921081729223528,102.43450152204336,0.01270197980577212,0.026075895599057864,105.29000988655545
Pit30M,53,0.3207920716831713,0.00532309873795786,0.009415816125517366,76.88599421189069,0.006702735970103068,0.011745568875676515,75.23544009590317
