dataset,N,central,fa_W5,delta_pct,ci_lo,ci_hi,regime
HeLiPR,6,0.04863983755749743,0.026054860094646956,-46.43308571117788,-63.085670604769085,-10.3069269292276,separated
Oxford,11,0.34497442581785437,0.20626167109466034,-40.20957622998813,-40.271926572879444,-30.511188085709712,alg.\ sep.
nuScenes,20,0.15129512055341038,0.1428489223106934,-5.582597913152975,-7.385642183617754,-3.0133245428221427,weak.\ coup.
KITTI,3,0.1357272219718716,0.13235886347204734,-2.4817118120359916,-3.901099871383609,-2.0454401414178895,online
KITTI-360,10,0.2279121002931378,0.2278005876223672,-0.04892792906877608,-0.7422257909680922,-0.04601129585674917,online
Boreas,3,0.01132271502974389,0.022921081729223528,102.43450152204336,101.13525235014397,111.40256086962299,batch joint
Pit30M,53,0.00532309873795786,0.009415816125517366,76.88599421189069,52.59652664056331,108.07042294745406,batch joint
