offset,n_seq,central_M4,family_a_M4,delta_pct,smooth_ratio
0,53,0.00532309873795786,0.009415816125517366,76.88599421189069,1.6937184618037806
1,53,0.005319311270773549,0.009426760883996993,77.21769612903529,1.6915316980610886
2,53,0.005322241665109108,0.009420228509575768,76.9973838529681,1.6936165510093548
3,53,0.00532063694141352,0.009421483585039594,77.07435573562387,1.6833557719517636
4,53,0.0053105191528455015,0.009329869688297968,75.68658392463954,1.6917648506589074
5,53,0.0053118535435418895,0.009205745749765508,73.30571474354338,1.689993251515991
6,53,0.005330072880789885,0.009167469802860087,71.99520546708776,1.6804886439034674
7,53,0.005340471832635135,0.009189853853585577,72.07943682854427,1.6845757120563636
8,53,0.005344495270401967,0.00924876758022243,73.05221751139877,1.6973634828957085
9,53,0.00533755584050874,0.009330154247319412,74.80199788280106,1.6985008855822787
