dataset,N,M2_c,M2_f,M3_c,M3_f,M4_c,M4_f,smooth_x
HeLiPR,6,0.05052933907131925,0.05020104247426087,0.07471555856456462,0.020252163758868142,0.04863983755749743,0.026054860094646956,3.6892630068650174
Oxford,11,0.05991613536404939,0.05796862397587875,0.3835592874213872,0.0935473240498134,0.34497442581785437,0.20626167109466034,4.100163113347252
nuScenes,20,0.0390538739650282,0.03457972576016767,0.07300486879048743,0.023654402429715473,0.15129512055341038,0.1428489223106934,3.086312114939594
KITTI,3,0.12163916944959807,0.12039032120897561,0.05307676958106948,0.023082684115096636,0.1357272219718716,0.13235886347204734,2.2994193100080587
KITTI-360,10,0.10966649869403214,0.10817789303086735,0.02279759408310876,0.012486190197266638,0.2279121002931378,0.2278005876223672,1.82582466892899
Boreas,3,0.04969743378672485,0.04946727339257296,0.02356437326520248,0.010713148572766054,0.01132271502974389,0.022921081729223528,2.1995749526993014
Pit30M,53,0.04996083993238169,0.04975274107919247,0.010691997470432379,0.006312735978000492,0.00532309873795786,0.009415816125517366,1.6937184618037806
