dataset,n_seq,central_M4,family_a_M4,delta_pct,paper_pct,diff_pp
HeLiPR,6,0.04886504296773937,0.026290901943419875,-46.19691225734297,-46.0,-0.1969122573429729
Oxford,11,0.33743160028383273,0.20169900720853084,-40.225216891698814,-40.0,-0.22521689169881398
nuScenes,20,0.15271509298423713,0.14388295323157263,-5.78340986478405,-6.0,0.2165901352159496
KITTI raw,3,0.12863816080150706,0.12499088704691194,-2.8352968760358643,-2.0,-0.8352968760358643
KITTI-360,10,0.2279121002931378,0.2278005876223672,-0.04892792906877608,-0.0,-0.04892792906877608
Boreas,3,0.01150514985928266,0.023387622754803123,103.27960122947349,102.0,1.279601229473485
Pit30M,53,0.0036365501788009893,0.0036369829606733655,0.011900890984506418,0.0,0.011900890984506418
