dataset,n,central,famA_W5,delta_pct,ci_lo,ci_hi
HeLiPR,6,0.04886504296773935,0.026290901943419848,-46.196912257343,-63.258271145137826,-9.13856805170819
Oxford RTK,11,0.3374316002838327,0.2016990072085308,-40.225216891698814,-40.225216891698814,-36.868426658248374
nuScenes,20,0.15186556702581566,0.14334585157432725,-5.610037626264646,-9.824357632817062,-2.935019437536564
KITTI,3,0.128638160801507,0.1249908870469119,-2.8352968760358497,-3.9142451301064662,-2.038522787121843
Boreas,3,0.0115051498592826,0.0233876227547941,103.27960122939615,101.82265776171191,111.58726283038047
