dataset,route,n_seq,hi_band_frac_position,hi_band_frac_velocity,n_seq_velocity_spectrum,M4_central,M4_fa_W5,delta_pct,delta_minus_stride_pp,smooth_ratio,delta_shift_-0.5s_pct,delta_shift_-0.2s_pct,delta_shift_-0.1s_pct,delta_shift_+0.1s_pct,delta_shift_+0.2s_pct,delta_shift_+0.5s_pct
nuScenes,stride,20,1.924664574248767e-06,7.006495308858158e-07,19,0.15333082163906042,0.14562083268360063,-5.028336033839986,0.0,3.1791649569652725,-3.180958251186994,-5.317009551970109,-5.202279771314888,-2.303825642906976,-3.1672762770756147,-0.5538507852431485
nuScenes,filtered_4Hz,20,1.924664574248767e-06,7.006495308858158e-07,19,0.1523205808113638,0.1451378739259788,-4.715519627830311,0.3128164060096754,2.847581250574422,-2.9971217505495917,-5.017654622895251,-4.816238781333393,-2.0891778972163877,-2.9139159720044883,-0.4883131292940823
nuScenes,filtered_2.5Hz,20,1.924664574248767e-06,7.006495308858158e-07,19,0.14997388735885914,0.14430516497960916,-3.779806257662577,1.2485297761774095,2.0039292413875267,-2.283030420306964,-3.8190553665249594,-3.6569793073533363,-1.4793849006691784,-2.1777968554875016,-0.32145437879779193
Pit30M,stride,53,2.196470401089117e-11,2.366706745700369e-07,53,0.005351719746057542,0.00914382942546121,70.85777767412442,0.0,1.6980035466131331,0.012825419678330618,-0.19551014516473453,-0.14332918035434572,-0.026808662065680444,-0.16906731774258832,0.022647622140903323
Pit30M,filtered_4Hz,53,2.196470401089117e-11,2.366706745700369e-07,53,0.005110971688256763,0.008681174562889886,69.85370086937107,-1.0040768047533533,1.6796934761029525,0.013287917831528162,-0.18312982878051498,-0.13924129122178108,-0.018193444450220753,-0.16504986771994634,0.02281151026255479
Pit30M,filtered_2.5Hz,53,2.196470401089117e-11,2.366706745700369e-07,53,0.004956152524290006,0.007577293456421659,52.88660749009424,-17.97117018403018,1.529568391957493,0.013346835431504722,-0.12749813703752944,-0.10630096426521574,0.005545818959107329,-0.10711533488089175,0.02268945879564388
Boreas,stride,3,3.802487435970007e-11,1.2776812624489361e-05,3,0.011036503589831055,0.02283230311842165,106.87985948248273,0.0,2.198719233453083,-0.027856541181814354,-1.2826541648160772,-0.29217199520170656,-0.25134225140398536,-1.275522387695882,-0.028085126902654967
Boreas,filtered_4Hz,3,3.802487435970007e-11,1.2776812624489361e-05,3,0.00734062016207936,0.021355011768752256,190.91563515395237,84.03577567146964,2.175960099325468,-0.02641880123214202,-1.2773343511952806,-0.24634906362459574,-0.237871530290934,-1.2688314138001977,-0.026336671217341845
Boreas,filtered_2.5Hz,3,3.802487435970007e-11,1.2776812624489361e-05,3,0.005966770264494367,0.018481572345642985,209.74164458147007,102.86178509898734,1.9736622016133538,-0.030588965291089565,-1.0425659285525968,-0.13615605471398728,-0.11913910339353961,-1.0351612566203094,-0.03065862644752171
