dataset,sequence,method,kappa_bin,n,rmse_vs_ref
Oxford,2014-11-11-11-06-25_rtk,family_a_W5,1e-01-1e+00,3320,0.043246017413870186
Oxford,2014-12-05-11-09-10_rtk,central,0e+00-1e-03,1139,0.3751061861888283
Oxford,2014-12-05-11-09-10_rtk,central,1e-03-5e-03,818,0.5763764333898829
Oxford,2014-12-05-11-09-10_rtk,central,5e-03-2e-02,243,0.4258848858489199
Oxford,2014-12-05-11-09-10_rtk,central,2e-02-1e-01,221,0.27697086258158615
Oxford,2014-12-05-11-09-10_rtk,central,1e-01-1e+00,519,0.10289723918395834
Oxford,2014-12-05-11-09-10_rtk,family_a_W5,0e+00-1e-03,1139,0.22703526884404482
Oxford,2014-12-05-11-09-10_rtk,family_a_W5,1e-03-5e-03,818,0.33798555625790294
Oxford,2014-12-05-11-09-10_rtk,family_a_W5,5e-03-2e-02,243,0.2550049917612803
Oxford,2014-12-05-11-09-10_rtk,family_a_W5,2e-02-1e-01,221,0.18147119159894656
Oxford,2014-12-05-11-09-10_rtk,family_a_W5,1e-01-1e+00,519,0.05851134352707764
Oxford,2015-02-13-09-16-26_rtk,central,0e+00-1e-03,4589,0.4534933792230929
Oxford,2015-02-13-09-16-26_rtk,central,1e-03-5e-03,6495,0.46183066364686404
Oxford,2015-02-13-09-16-26_rtk,central,5e-03-2e-02,3568,0.3626904758509981
Oxford,2015-02-13-09-16-26_rtk,central,2e-02-1e-01,2646,0.27451204539333063
Oxford,2015-02-13-09-16-26_rtk,central,1e-01-1e+00,4803,0.07088263756025026
Oxford,2015-02-13-09-16-26_rtk,family_a_W5,0e+00-1e-03,4589,0.26891286132492853
Oxford,2015-02-13-09-16-26_rtk,family_a_W5,1e-03-5e-03,6495,0.2773719596474476
Oxford,2015-02-13-09-16-26_rtk,family_a_W5,5e-03-2e-02,3568,0.2200227029829965
Oxford,2015-02-13-09-16-26_rtk,family_a_W5,2e-02-1e-01,2646,0.16407157370597714
Oxford,2015-02-13-09-16-26_rtk,family_a_W5,1e-01-1e+00,4803,0.04104320186068681
Oxford,2015-03-24-13-47-33_rtk,central,0e+00-1e-03,4671,0.2974759726713203
Oxford,2015-03-24-13-47-33_rtk,central,1e-03-5e-03,6689,0.2979565590166454
Oxford,2015-03-24-13-47-33_rtk,central,5e-03-2e-02,3686,0.22971736020539918
Oxford,2015-03-24-13-47-33_rtk,central,2e-02-1e-01,2809,0.17090622641010805
Oxford,2015-03-24-13-47-33_rtk,central,1e-01-1e+00,4466,0.0486613572390582
Oxford,2015-03-24-13-47-33_rtk,family_a_W5,0e+00-1e-03,4671,0.19503095648082286
Oxford,2015-03-24-13-47-33_rtk,family_a_W5,1e-03-5e-03,6689,0.1920172196311138
