method,rms_accel,p95_accel,p99_accel
INS_ref,0.5526328727874749,1.1990399712306534,1.9804426758593594
central,0.5965609039130779,1.3166378184790772,2.115487817539607
famA_W5,0.5209944557651628,1.132992143290111,1.8137960672046554
famA_W7,0.5086794867347204,1.1082119944406403,1.7710463246232246
