check,key,value
alignment,delta_pct,140.16403728887246
alignment,smooth_x,3.6916060736429452
latency,shift_-0.5s,-0.04067338985702662
latency,shift_-0.2s,-0.4301995469307762
latency,shift_-0.1s,-0.32770701405772096
latency,shift_+0.0s,140.16403728887246
latency,shift_+0.1s,-0.4797082722454826
latency,shift_+0.2s,-0.43164398101745993
latency,shift_+0.5s,-0.037335411709937816
curvature,0e+00-1e-03,102.44549328098111
curvature,1e-03-5e-03,130.65457540922242
curvature,5e-03-2e-02,116.27951793061224
curvature,2e-02-1e-01,336.2318829044458
curvature,1e-01-1e+00,946.9470117742798
