scene,method,n,dt_med,m1_path_len_err,m3_low_speed_rms,m4_smooth,m4_lag_s,m8_rmse_vs_can,m8_bias
scene-0001,forward,193,0.10003150000000005,0.0010046620815642449,,0.13821077989951336,0.0,0.12342598714608576,0.05871591372730982
scene-0001,central,193,0.10003150000000005,2.03719136803171e-05,,0.06860177297638306,0.0,0.10809407692162255,0.05233391518207375
scene-0001,cubic_global,193,0.10003150000000005,2.1668164924992794e-05,,0.11106867679593144,0.0,0.11693204506038551,0.05233755933745201
scene-0001,savgol_w7p3,193,0.10003150000000005,0.010565790894369265,,0.1657327016898626,0.0,0.21020362521593663,0.10874512982580757
scene-0001,smoothing_spline,193,0.10003150000000005,0.012004676028258943,,0.005510325878209764,0.0,0.30893977932239797,0.05361435999193087
scene-0001,family_a_W3,193,0.10003150000000005,0.00011834984175651542,,0.04988447005543473,0.0,0.10678959442928972,0.052598873115874675
scene-0001,family_a_W5,193,0.10003150000000005,8.680847877640119e-06,,0.021242760689120156,0.0,0.09824324860954373,0.053112564972335574
scene-0001,family_a_W7,193,0.10003150000000005,2.0754931233435414e-05,,0.011709965460497964,0.0,0.09338237243871446,0.05320253850884657
scene-0001,family_a_midspan_W5,193,0.10003150000000005,0.0002444448257413745,,0.013030178781750742,0.0,0.07972970323086019,0.05401006557870642
scene-0053,forward,191,0.10003799999999996,0.0022516675167043587,,0.14412139401058546,0.0,0.2756805725807018,0.2537353385371587
scene-0053,central,191,0.10003799999999996,4.78248169089035e-06,,0.07146242106168953,0.0,0.24877444332361143,0.23170423027117193
scene-0053,cubic_global,191,0.10003799999999996,2.0947134320215e-05,,0.12199873057383702,0.0,0.2535526456880272,0.2321764582060509
scene-0053,savgol_w7p3,191,0.10003799999999996,0.010511783379343331,,0.2893366236602918,0.0,0.4183347704539324,0.3171568458544512
scene-0053,smoothing_spline,191,0.10003799999999996,0.0005149108925238677,,0.003002385716430394,0.0,0.3065421300709038,0.23401313490736383
scene-0053,family_a_W3,191,0.10003799999999996,6.405319136204568e-06,,0.04974196889614252,0.0,0.2485605916657616,0.23198697410354893
scene-0053,family_a_W5,191,0.10003799999999996,3.3659740815261685e-05,,0.02217207244610371,0.0,0.24407592608590678,0.2314689941104599
scene-0053,family_a_W7,191,0.10003799999999996,6.923391868696172e-05,,0.01485207766890556,0.0,0.24077118479592885,0.23092129501036665
scene-0053,family_a_midspan_W5,191,0.10003799999999996,0.00016235159458721782,,0.012203980969042095,0.0,0.23251541704140594,0.22695272261804625
scene-0103,forward,194,0.10000499999999946,0.00014386805376620515,,0.13116210244752702,0.0,0.2198756674372106,0.09257928131819418
scene-0103,central,194,0.10000499999999946,2.6440037863562083e-06,,0.07167783815787625,0.0,0.17991073118585046,0.09353022574503979
scene-0103,cubic_global,194,0.10000499999999946,9.10452898894576e-06,,0.11867004560700274,0.0,0.1857914762081664,0.09365442020226503
scene-0103,savgol_w7p3,194,0.10000499999999946,0.001226974022897176,,0.07371774697994715,0.0,0.1916756833799672,0.10042867476424691
scene-0103,smoothing_spline,194,0.10000499999999946,0.021062105173131895,,0.007881647298167793,0.10000499999999946,0.7606378443082603,0.10737584396715778
scene-0103,family_a_W3,194,0.10000499999999946,5.001234081192241e-05,,0.04779948391894015,0.0,0.17927729635638567,0.09349174518800146
scene-0103,family_a_W5,194,0.10000499999999946,3.803853068928831e-05,,0.020702405085765926,0.0,0.17570303777936405,0.0934998795572593
scene-0103,family_a_W7,194,0.10000499999999946,2.6603950170400736e-05,,0.013815305042121655,0.0,0.17312502372881594,0.0933608885809173
scene-0103,family_a_midspan_W5,194,0.10000499999999946,8.592961562947643e-05,,0.013692167041661594,0.0,0.15885523734522375,0.09375890061207143
scene-0158,forward,193,0.10000299999999918,0.0012680537544507153,0.08284401595911543,0.1426372241654814,0.0,0.12319114551354056,0.03241092657552517
scene-0158,central,193,0.10000299999999918,7.27785337827358e-05,0.0779922338760497,0.057924075987352,0.0,0.09916356313413309,0.028595130141558796
scene-0158,cubic_global,193,0.10000299999999918,6.2813000543116e-05,0.07822149174042423,0.1089250762720851,0.0,0.10613530523007729,0.02853921671949828
scene-0158,savgol_w7p3,193,0.10000299999999918,0.0034886003962988354,0.07716444319052887,0.05337076677455962,0.0,0.1155442135847323,0.035056777782286226
scene-0158,smoothing_spline,193,0.10000299999999918,0.09061282610575683,0.46822848331509426,0.010792370596779708,-0.10000299999999918,0.3770133627536351,0.11508413074778014
scene-0158,family_a_W3,193,0.10000299999999918,0.00015077956438735995,0.07807785482373168,0.03799940806545922,0.0,0.09872322358305069,0.028934578062156317
scene-0158,family_a_W5,193,0.10000299999999918,0.00015844914786322661,0.07760950271849085,0.01769610218049722,0.0,0.09457122241622697,0.02938507395246436
scene-0158,family_a_W7,193,0.10000299999999918,0.00033192289690153753,0.07785855279182388,0.011585154175621963,0.0,0.0915107550248975,0.029614090011189052
scene-0158,family_a_midspan_W5,193,0.10000299999999918,7.152023282586129e-05,0.09599664730684679,0.010925370318141621,0.0,0.07911356784291344,0.030438620479818327
scene-0234,forward,193,0.1000000000000002,0.0028903091788050617,0.04933124488089335,0.1470191216796927,0.0,0.13193507351907177,0.037746410159148105
scene-0234,central,193,0.1000000000000002,2.7989452129228987e-05,0.035318960578388,0.07405510995917224,0.0,0.11285986870791043,0.029852429843136165
scene-0234,cubic_global,193,0.1000000000000002,2.7188441940273478e-05,0.03729887010412089,0.12866023673807975,0.0,0.12219383493165417,0.030102419949909545
scene-0234,savgol_w7p3,193,0.1000000000000002,0.00504618040574778,0.032477824560244846,0.06302755761309647,0.0,0.12152525560584349,0.03862785751932224
scene-0234,smoothing_spline,193,0.1000000000000002,0.05167755458597245,0.6892898887168202,0.005407983893875841,0.0,0.41270341574950276,0.1270467996662043
scene-0234,family_a_W3,193,0.1000000000000002,3.7385428015568323e-06,0.03241068587640661,0.04698710754879366,0.0,0.11200216563652611,0.030077699199736234
scene-0234,family_a_W5,193,0.1000000000000002,7.531520847514628e-05,0.032573597168340074,0.02142883418724022,0.0,0.10489551706856216,0.029935974254702343
