dataset,shift_s,M4_central,central_ratio_vs_zero,M4_FA,delta_pct
helipr,-0.5,0.2863737764131343,5.887638421378574,0.2831607461895246,-1.1219708256298255
helipr,-0.2,0.1335458708216681,2.7456068426174913,0.1195396449351521,-10.487951293693886
helipr,-0.1,0.0825147671926013,1.6964441358394786,0.0638357218670145,-22.63721508416461
helipr,0.0,0.0486398375574974,1.0,0.0260548600946469,-46.43308571117788
helipr,0.1,0.0847704595319745,1.7428195444067203,0.0653615031547819,-22.89589614631231
helipr,0.2,0.1351522638475899,2.778633125322956,0.1209136063432041,-10.535271181578263
helipr,0.5,0.2897626102885346,5.957310403144434,0.2840950081074409,-1.955946688722232
oxford,-0.5,0.4022040365099287,1.165895227034283,0.2998496407809436,-25.448376057374144
oxford,-0.2,0.3527513799387478,1.0225435671135799,0.2252374959395292,-36.148372834533006
oxford,-0.1,0.3481216571514017,1.0091230859391562,0.2114007681273833,-39.273882051112096
oxford,0.0,0.3449744258178543,1.0,0.2062616710946603,-40.20957622998813
oxford,0.1,0.347692369794082,1.0078786825133026,0.2105714443144143,-39.43742727540338
oxford,0.2,0.3558625088141919,1.0315620004889479,0.2236139419776776,-37.16282653016586
oxford,0.5,0.4074502979033326,1.1811029091138059,0.3178193108496335,-21.99801730785923
nuscenes,-0.5,0.2368361742714747,1.5653920192876718,0.2314032049708361,-2.293977817092674
nuscenes,-0.2,0.1462399133020617,0.9665871097966838,0.1381632269655314,-5.522901480287179
nuscenes,-0.1,0.1509487169763032,0.9977104114406332,0.1434272411548695,-4.982802088085625
nuscenes,0.0,0.1512951205534103,1.0,0.1428489223106934,-5.582597913152975
nuscenes,0.1,0.1845770447690426,1.2199801559620234,0.1801735168461312,-2.385739748093507
nuscenes,0.2,0.212176567261845,1.4024019180905594,0.2036632231932184,-4.012386560161662
nuscenes,0.5,0.3398944168548835,2.2465656236077605,0.3385238809145321,-0.4032240226342298
kitti,-0.5,0.4679357942315939,3.4476193311358716,0.466780823312636,-0.2468225199259488
kitti,-0.2,0.1905654535850379,1.4040326679973683,0.1878235852477101,-1.4388066072554606
kitti,-0.1,0.1291294703757087,0.9513896217699777,0.1255643133340471,-2.760916645354905
kitti,0.0,0.1357272219718716,1.0,0.1323588634720473,-2.481711812035992
kitti,0.1,0.2018547957522389,1.4872093661069092,0.1992726852347315,-1.2791920587691852
kitti,0.2,0.2903061060959599,2.1388937449565097,0.2883843560763767,-0.6619736819961974
kitti,0.5,0.5781571557283174,4.259699324341406,0.5774735689866342,-0.1182354546528263
kitti360,-0.5,0.4023922263291695,1.7655588527841104,0.4015723897730905,-0.2037406546239739
kitti360,-0.2,0.2485293749049025,1.0904615182135877,0.2482238541660929,-0.1229314397650394
kitti360,-0.1,0.2249178820023107,0.9868623987626107,0.2247629534121853,-0.0688822910593689
kitti360,0.0,0.2279121002931378,1.0,0.2278005876223672,-0.048927929068776
kitti360,0.1,0.2565350891730276,1.125587842168429,0.2559915584837202,-0.211873818532815
kitti360,0.2,0.2964844505208779,1.3008719157058497,0.2957213392111104,-0.2573866212635445
kitti360,0.5,0.4792547274318231,2.1028051025610814,0.4792245548871677,-0.0062957218632031
boreas,-0.5,0.4217814374094967,37.25090990116002,0.4216657119015478,-0.0274373165067842
boreas,-0.2,0.1745208811672562,15.413342180634665,0.1722818877839738,-1.282937244132154
boreas,-0.1,0.0889168644913371,7.852963203415446,0.0886662762318443,-0.2818230950071054
boreas,0.0,0.0113227150297438,1.0,0.0229210817292235,102.43450152204336
boreas,0.1,0.0887520915675687,7.838410781727226,0.0885179408610516,-0.2638255644249354
boreas,0.2,0.1743818499655361,15.401063217386461,0.1721551075852698,-1.2769347158012143
boreas,0.5,0.4216522035435561,37.23949621940603,0.4215362438284248,-0.0275012709898603
pit30m,-0.5,0.3369395289105271,63.29762897462118,0.3369938762974021,0.0161297153381312
pit30m,-0.2,0.1364968719121782,25.64237085043158,0.1361567832536623,-0.2491549101101275
pit30m,-0.1,0.0686472024668306,12.896097902021449,0.0686182562592193,-0.0421666237970463
pit30m,0.0,0.0053230987379578,1.0,0.0094158161255173,76.88599421189069
pit30m,0.1,0.0683252500903969,12.835615767031554,0.0681534688598369,-0.2514169071209826
pit30m,0.2,0.1360933950622983,25.566573486951768,0.1357547288488353,-0.2488483833531618
pit30m,0.5,0.3358617228841543,63.09515179367257,0.3359329875997504,0.0212184690128403
