dataset,N,coupling,dt_cv_median,M4_central,M4_sg_w7p3,M4_sg_w11p3,M4_spline,M4_fa_W5,M4_fa_W5_uniform_t,delta_fa_pct,delta_sg11_pct,delta_sg7_pct
HeLiPR,6,separated,0.004567556297348868,0.04863983755749743,0.04082017419475338,0.026678940918117004,0.5145866073432436,0.026054860094646956,0.02667324236018403,-46.43308571117788,-45.15002052262268,-16.076664223025784
Oxford,11,alg. separated,0.07998370724461058,0.34497442581785437,0.2142705462595389,0.21426993061980226,0.5105326190423826,0.20626167109466034,0.21426935495049204,-40.20957622998813,-37.88816950363264,-37.88799104410331
nuScenes,20,weak/online,0.03261452525622534,0.15129512055341038,0.21564435346886762,0.18853685532492043,0.3766215938163993,0.1428489223106934,0.1898522212422476,-5.582597913152975,24.61529138235685,42.53225925600199
KITTI,3,weak/online,0.046553570765916104,0.1357272219718716,0.42643489685798586,0.40904165132222814,0.6813621762616864,0.13235886347204734,0.4087126512876176,-2.4817118120359916,201.37038493795947,214.18523908664483
KITTI-360,10,weak/online,0.0008811786154392015,0.2279121002931378,0.23396374682809573,0.23302568170887566,0.6491625417556923,0.2278005876223672,0.2330256555887607,-0.04892792906877608,2.243663855126976,2.6552546034959823
Boreas,3,batch joint,4.786337689067256e-06,0.01132271502974389,0.01237131447234074,0.02292113765286591,0.6388146394857818,0.022921081729223528,0.022921137652842098,102.43450152204336,102.43499542869236,9.261024761660618
Pit30M,53,batch joint,0.0,0.00532309873795786,0.005325444173298582,0.009421721549791108,0.582996099890048,0.009415816125517366,0.009415816125517366,76.88599421189069,76.99693380862654,0.04406146600282046
