central_M2,central_M3sm,family_a_W5_M2,family_a_W5_M3sm,family_a_W7_M2,family_a_W7_M3sm,sequence,n_frames
0.08737638561277619,0.0803072369372421,0.08057855529118384,0.020557796584096937,0.08386464561117327,0.01240733589623154,02678d04-cc9f-3148-9f95-1ba66347dff9,160
,0.050971671417538514,,0.012170596162389852,,0.008248977657138562,02a00399-3857-444e-8db3-a8f58489c394,160
,0.055390865662652514,,0.021446236429993416,,0.01839804100127383,04994d08-156c-3018-9717-ba0e29be8153,160
,0.05124206334030809,,0.01571263302121189,,0.012178434063246138,05fa5048-f355-3274-b565-c0ddc547b315,160
,0.06479055133531982,,0.020809964079391455,,0.008718445021773746,070bbf42-31d3-3aa9-aca4-c262afc9077d,160
0.09196153281158488,0.05077099237689926,0.09526376514399112,0.02418850441920554,0.09998896354651143,0.0194238395487902,0aa4e8f5-2f9a-39a1-8f80-c2fdde4405a2,160
0.2608534629192958,0.04177454825130032,0.2709710612241351,0.009122902444993019,0.2708315801011554,0.006777228295592269,0b5142c1-420b-3fea-9e98-b87327ae22c6,160
,0.0888406032119039,,0.020017811378362275,,0.011721706498376451,0b86f508-5df9-4a46-bc59-5b9536dbde9f,160
0.2977928539799768,0.04499318451473267,0.3118942538768468,0.015263742313105452,0.3098051429784927,0.01154826623323215,0bae3b5e-417d-3b03-abaa-806b433233b8,160
,0.041401213582107826,,0.01022566940252032,,0.006758845356657567,0c3bad78-9f1e-395d-a376-2eb7499229fd,160
0.24470819584587575,0.05111833142266072,0.24597395516269768,0.012540746920513487,0.2617084174587526,0.007792687198681388,0fb7276f-ecb5-3e5b-87a8-cc74c709c715,160
0.16318324711882382,0.051202832490477405,0.16399141501101544,0.014059480621805807,0.16583748012888172,0.010518568004598368,11ba4e81-c26f-3cd1-827d-b6913bcef64e,160
0.1865968811409312,0.057433479769160856,0.1514035237666072,0.027371527161237336,0.1531608136066418,0.024615807931461012,15ec0778-826e-3ed7-9775-54fbf66997f4,160
,0.05017501833273151,,0.012459482025332777,,0.007392678515210081,182ba3f7-b89a-36cc-ae40-32a341b0d3e9,160
0.1878041752721638,0.05674390641083725,0.18107417226280098,0.02035852801746391,0.17870547217668614,0.01485065985448657,185d3943-dd15-397a-8b2e-69cd86628fb7,160
0.14054564006937867,0.04664543290069172,0.13951226429822725,0.01218355124027792,0.1370174156808148,0.008758092193985482,19350c96-623d-4d77-af96-f8c23f00c358,160
0.19921095242263961,0.05905578839921285,0.20014885663711032,0.015930772569746156,0.20022505618402917,0.006354298894117205,19f53e16-9f99-3035-9672-7e860f3b0048,160
,0.06524833421998388,,0.026192859137263626,,0.019658391838543312,1da4a0aa-22ae-3958-856d-05303de1f576,160
0.12459651850121116,0.042021186171605295,0.12762182339321892,0.011982671332131082,0.12774521970609012,0.008686840081707285,1f434d15-8745-3fba-9c3e-ccb026688397,160
0.0758357176650197,0.03972389263626288,0.0821793554288944,0.013168922383552835,0.08541761094743526,0.009800998081389522,201fe83b-7dd7-38f4-9d26-7b4a668638a9,160
0.24014703574941773,0.06381237045307997,0.2414941796243403,0.015107836824119472,0.24323829496692645,0.009398445661906249,20bcd747-ef60-391a-9f4a-ae99f049c260,160
,0.06159691695885197,,0.019565268644551412,,0.013480015468827907,20d47f81-46e8-3adf-a0ca-564fbb5c599d,160
,0.05652384446723441,,0.014397086613623938,,0.009633527551964208,20dd185d-b4eb-3024-a17a-b4e5d8b15b65,200
,0.06547934333536685,,0.019316435494267578,,0.010184401725135881,214e388e-cbd7-3dde-a204-d2ec42298808,160
0.19389532742976492,0.04557687647229311,0.1930028583349821,0.014658688867973804,0.19143725460213076,0.010920792066140779,22052525-4f85-3fe8-9d7d-000a9fffce36,160
,0.0912419311860893,,0.02468495107304732,,0.01557414163405972,24642607-2a51-384a-90a7-228067956d05,160
0.06944209474573183,0.033592965451615026,0.07088174546444326,0.00701701945744037,0.07193987080383699,0.005322620776348528,25e5c600-36fe-3245-9cc0-40ef91620c22,160
,0.06194041083028021,,0.01722406162792243,,0.007977245935691553,27be7d34-ecb4-377b-8477-ccfd7cf4d0bc,160
,0.061965215941194134,,0.015745294714737214,,0.008665577529391939,27c03d98-6ac3-38a3-ba5e-102b184d01ef,160
0.47658917875102497,0.05771994446098949,0.48707065411741435,0.023651232270430624,0.48065355873922344,0.018543499237135632,280269f9-6111-311d-b351-ce9f63f88c81,160
,0.0440697766264883,,0.010253300173045134,,0.005884452358750308,29a00842-ead2-3050-b587-c5ef507e4125,160
0.11208540391997876,0.049435364095214485,0.08100199111779921,0.017402476576797186,0.08291667263195036,0.015247075857805098,2c652f9e-8db8-3572-aa49-fae1344a875b,160
,0.06003739251942361,,0.013620139388858182,,0.00845033397470557,2e3f2ae7-9ab9-3aef-a3ce-a0a97a0cb1ab,160
,0.058086398578107996,,0.020801207565826787,,0.017127121930109717,2f2321d2-7912-3567-a789-25e46a145bda,160
,0.07281568562931191,,0.018680480536771096,,0.012393106449358583,2ff4f798-78d9-3384-87e9-61928aa4cb6d,160
0.34485689056108854,0.07604566830689764,0.34019956321857264,0.024904640429784564,0.3388623842022066,0.017762117062537143,335aabef-269e-3211-a99d-2c3a3a8f8475,160
0.06518273156822242,0.042933161143564845,0.08367374548487895,0.012789464940175814,0.08354040373510048,0.011366727875386604,36aec72e-5086-376c-b109-295b128e77e1,160
0.11879197773893388,0.05390262833757033,0.19762480512621233,0.01970439668935954,0.1723303000687182,0.017156753870165842,3b3570b4-7b0b-3268-a571-b0889dbf40b6,160
,0.05780649634500975,,0.02095489617528945,,0.01695264670419269,3bffdcff-c3a7-38b6-a0f2-64196d130958,160
0.24321649468412276,0.07040993396661578,0.24276785237610407,0.021741156510433558,0.24071095755206112,0.01591633130750183,3de5b5d6-68c4-3c95-84ed-be7c83d829f8,160
,0.0914383035781933,,0.020274364366694202,,0.011074424594887998,42f92807-0c5e-3397-bd45-9d5303b4db2a,160
0.038932723866613436,0.07821992104868561,0.03819718172454391,0.026828630127584713,0.04916094850716901,0.021519975367415383,44adf4c4-6064-362f-94d3-323ed42cfda9,160
,0.044924216583128465,,0.008847225252572808,,0.004843693273287181,47286726-5dd4-4e26-bd2d-5324f429e445,160
,0.06097823643613521,,0.02121006142416107,,0.016872488441259697,472a240a-10cd-39cd-8681-558f7c7cf868,160
0.3181052175352488,0.06833430942845363,0.3145459025557079,0.023936355094599165,0.3158226410133443,0.017959241372924477,4c33fc38-5e59-34f8-96ba-4e5a404d3988,160
,0.06634136797929054,,0.021003285015266125,,0.013845522984889228,4e3fedbb-847c-3d5b-8a62-c9ff84550985,160
0.17323917133756755,0.056562396832204695,0.16526234522894442,0.02555564284708999,0.1645677747945869,0.021784087095371548,51bbdd4d-3065-34ae-b369-b6e0444f34db,160
0.12494137268214545,0.06600663020599337,0.1214303550438578,0.01831152439953994,0.11863392911277681,0.0114226361909535,52071780-5758-3ed4-8835-0d64ecdc5575,160
0.436103475166153,0.05098512948140132,0.43147883044316093,0.01940110167814344,0.44207940710701116,0.012584079203917914,52971a8a-ed62-3bfd-bcd4-ca3308b594e0,160
