sequence,method,checkpoint,elapsed_s,dist_traveled_m,drift_m,drift_abs_m,drift_pct
bridge01,v_forward,t100s,100.001271808,1476.8279153835854,0.9708074944262535,0.9708074944262535,0.06573599295582788
bridge01,v_forward,t500s,500.096601088,5343.163365332581,0.772319985939248,0.772319985939248,0.014454358460199834
bridge01,v_forward,final,2143.797064448,23045.266193385607,-0.9820612185612845,0.9820612185612845,-0.004261444455968806
bridge01,v_central,t100s,100.001271808,1476.8279153835854,0.5887943606978752,0.5887943606978752,0.0398688536805552
bridge01,v_central,t500s,500.096601088,5343.163365332581,0.15441842473319412,0.15441842473319412,0.002890018780542797
bridge01,v_central,final,2143.797064448,23045.266193385607,-1.1758908036354114,1.1758908036354114,-0.005102526452798851
bridge01,v_savgol_w7p3,t100s,100.001271808,1476.8279153835854,0.6014866258924485,0.6014866258924485,0.04072828117798821
bridge01,v_savgol_w7p3,t500s,500.096601088,5343.163365332581,0.13557423034490057,0.13557423034490057,0.0025373401686448692
bridge01,v_savgol_w7p3,final,2143.797064448,23045.266193385607,-1.042441603502084,1.042441603502084,-0.004523452212503768
bridge01,v_family_a_W3,t100s,100.001271808,1476.8279153835854,0.5948633671328025,0.5948633671328025,0.040279802469625925
bridge01,v_family_a_W3,t500s,500.096601088,5343.163365332581,0.18024684650481504,0.18024684650481504,0.003373410734066068
bridge01,v_family_a_W3,final,2143.797064448,23045.266193385607,-1.0328297802770976,1.0328297802770976,-0.00448174376294919
bridge01,v_family_a_W5,t100s,100.001271808,1476.8279153835854,0.5902007987629077,0.5902007987629077,0.03996408739400157
bridge01,v_family_a_W5,t500s,500.096601088,5343.163365332581,0.16706530354804272,0.16706530354804272,0.0031267115026276924
bridge01,v_family_a_W5,final,2143.797064448,23045.266193385607,-1.077858672811999,1.077858672811999,-0.004677137004047118
bridge01,v_family_a_W7,t100s,100.001271808,1476.8279153835854,0.5879624017636615,0.5879624017636615,0.039812519497977296
bridge01,v_family_a_W7,t500s,500.096601088,5343.163365332581,0.15686610753073182,0.15686610753073182,0.0029358283998671604
bridge01,v_family_a_W7,final,2143.797064448,23045.266193385607,-1.092246433669061,1.092246433669061,-0.004739569612706642
dcc05,v_forward,t100s,100.000717056,311.09141782211486,0.11317616551008314,0.11317616551008314,0.03638035607102424
dcc05,v_forward,t500s,500.094573824,2324.351480458491,-2.3595849403641296,2.3595849403641296,-0.10151584044848021
dcc05,v_forward,final,1080.891201024,5305.908571259967,-0.28337526192535734,0.28337526192535734,-0.005340749055878768
dcc05,v_central,t100s,100.000717056,311.09141782211486,0.10212791332173765,0.10212791332173765,0.03282890734714366
dcc05,v_central,t500s,500.094573824,2324.351480458491,-2.832646094086158,2.832646094086158,-0.12186823369447564
dcc05,v_central,final,1080.891201024,5305.908571259967,-0.5937674901706487,0.5937674901706487,-0.011190684539625411
dcc05,v_savgol_w7p3,t100s,100.000717056,311.09141782211486,0.11110066531176699,0.11110066531176699,0.035713188775685044
dcc05,v_savgol_w7p3,t500s,500.094573824,2324.351480458491,-2.779270725923652,2.779270725923652,-0.11957187840521545
dcc05,v_savgol_w7p3,final,1080.891201024,5305.908571259967,-0.4589139396584869,0.4589139396584869,-0.00864911133494166
dcc05,v_family_a_W3,t100s,100.000717056,311.09141782211486,0.10886685203678326,0.10886685203678326,0.034995131912971766
dcc05,v_family_a_W3,t500s,500.094573824,2324.351480458491,-2.761282433834822,2.761282433834822,-0.11879797255491427
dcc05,v_family_a_W3,final,1080.891201024,5305.908571259967,-0.45778336563307676,0.45778336563307676,-0.008627803504054147
dcc05,v_family_a_W5,t100s,100.000717056,311.09141782211486,0.09963936765120707,0.09963936765120707,0.03202896703122226
dcc05,v_family_a_W5,t500s,500.094573824,2324.351480458491,-2.901359950814822,2.901359950814822,-0.12482449299115952
dcc05,v_family_a_W5,final,1080.891201024,5305.908571259967,-0.7291448042515185,0.7291448042515185,-0.013742129070994757
dcc05,v_family_a_W7,t100s,100.000717056,311.09141782211486,0.09898793506357606,0.09898793506357606,0.031819564730062186
dcc05,v_family_a_W7,t500s,500.094573824,2324.351480458491,-3.0116446980077853,3.0116446980077853,-0.12956924644691525
dcc05,v_family_a_W7,final,1080.891201024,5305.908571259967,-0.9580154184714047,0.9580154184714047,-0.01805563374500269
kaist05,v_forward,t100s,100.098416896,568.1029040279863,0.39421273327593553,0.39421273327593553,0.06939107870790176
kaist05,v_forward,t500s,500.098853888,2648.797064344919,-0.4024639813151225,0.4024639813151225,-0.01519421728197426
kaist05,v_forward,final,1247.58320128,6879.393716016873,-2.617744712711101,2.617744712711101,-0.03805196825145166
kaist05,v_central,t100s,100.098416896,568.1029040279863,0.04139869745961278,0.04139869745961278,0.0072871828617819155
kaist05,v_central,t500s,500.098853888,2648.797064344919,-0.8316402579544047,0.8316402579544047,-0.03139690349060696
kaist05,v_central,final,1247.58320128,6879.393716016873,-2.754371755997454,2.754371755997454,-0.04003800145330566
kaist05,v_savgol_w7p3,t100s,100.098416896,568.1029040279863,0.04546576258985624,0.04546576258985624,0.008003085755677897
kaist05,v_savgol_w7p3,t500s,500.098853888,2648.797064344919,-0.7676902268722188,0.7676902268722188,-0.02898259882593453
kaist05,v_savgol_w7p3,final,1247.58320128,6879.393716016873,-2.660745714634686,2.660745714634686,-0.0386770378971018
kaist05,v_family_a_W3,t100s,100.098416896,568.1029040279863,0.05041852996191665,0.05041852996191665,0.008874893897643744
kaist05,v_family_a_W3,t500s,500.098853888,2648.797064344919,-0.799583852485739,0.799583852485739,-0.030186678445428067
kaist05,v_family_a_W3,final,1247.58320128,6879.393716016873,-2.67109385794447,2.67109385794447,-0.03882746021245339
kaist05,v_family_a_W5,t100s,100.098416896,568.1029040279863,0.053609153636898554,0.053609153636898554,0.00943652166830987
kaist05,v_family_a_W5,t500s,500.098853888,2648.797064344919,-0.827977389478292,0.827977389478292,-0.03125861926621628
kaist05,v_family_a_W5,final,1247.58320128,6879.393716016873,-2.7791318777517517,2.7791318777517517,-0.040397918660786465
kaist05,v_family_a_W7,t100s,100.098416896,568.1029040279863,0.055134878909711915,0.055134878909711915,0.009705086617018212
kaist05,v_family_a_W7,t500s,500.098853888,2648.797064344919,-0.8333437527726346,0.8333437527726346,-0.03146121550760368
kaist05,v_family_a_W7,final,1247.58320128,6879.393716016873,-2.810534588313203,2.810534588313203,-0.04085439363311343
riverside05,v_forward,t100s,100.0995712,1016.713668538856,-0.10192928808839952,0.10192928808839952,-0.010025368128952626
riverside05,v_forward,t500s,500.005771776,3933.723162337568,0.37137030685789796,0.37137030685789796,0.009440682313729866
riverside05,v_forward,final,855.002921472,6392.355297066538,-0.5100630587858177,0.5100630587858177,-0.007979266406231932
riverside05,v_central,t100s,100.0995712,1016.713668538856,0.203855233905756,0.203855233905756,0.020050407525131566
riverside05,v_central,t500s,500.005771776,3933.723162337568,-0.16455044276472108,0.16455044276472108,-0.004183071252704498
riverside05,v_central,final,855.002921472,6392.355297066538,-0.2840239822971853,0.2840239822971853,-0.004443182036948484
