method,checkpoint,median_drift_abs_m,median_drift_pct,max_drift_abs_m
v_central,final,1.9651312798164327,-0.025614342996465537,4.261923601219678
v_central,t100s,0.15299157361374682,0.013668795193456741,0.5887943606978752
v_central,t500s,0.49809535035956287,-0.01778998737165573,2.832646094086158
v_family_a_W3,final,1.8519618191107838,-0.02372763185825377,4.1816613650698855
v_family_a_W3,t100s,0.15696219483228901,0.014521777669116404,0.5948633671328025
v_family_a_W3,t500s,0.48991534949527704,-0.01683850608657412,2.761282433834822
v_family_a_W5,final,1.9284952752818754,-0.02707002386589061,4.515539602006356
v_family_a_W5,t100s,0.15182677629820773,0.014751281499570112,0.5902007987629077
v_family_a_W5,t500s,0.4975213465131674,-0.017267671167841975,2.901359950814822
v_family_a_W7,final,1.951390510991132,-0.029455013689058063,4.638856819307875
v_family_a_W7,t100s,0.15324303833457975,0.015056898183750632,0.5879624017636615
v_family_a_W7,t500s,0.4951049301516832,-0.017153966729240012,3.0116446980077853
v_forward,final,1.7999029656361927,-0.021287551228325846,3.98211399469983
v_forward,t100s,0.253453214864237,0.033248847736773245,0.9708074944262535
v_forward,t500s,0.5873919836271853,-0.006528301726630891,2.3595849403641296
v_savgol_w7p3,final,1.851593659068385,-0.02366307461602173,4.106320842623973
v_savgol_w7p3,t100s,0.15614904149785502,0.013896040409926265,0.6014866258924485
v_savgol_w7p3,t500s,0.45163222860855967,-0.015538897610524051,2.779270725923652
