sequence,method,n,dt_med,m1_path_len_err,m3_low_speed_rms,m4_smooth,m4_lag_s,m8_rmse_vs_pospac,m8_bias
boreas-2020-11-26-13-58,forward,10755,0.09999990463256836,3.872502318813531e-11,0.057163278901525734,0.030218218266549923,0.0,0.04313645649110048,-0.00043635693768053814
boreas-2020-11-26-13-58,central,10755,0.09999990463256836,1.285302658771137e-05,0.056720510919833655,0.024050147966403198,0.0,0.011053417130095833,-0.0005352535336598514
boreas-2020-11-26-13-58,cubic_global,10755,0.09999990463256836,4.760960164329475e-06,0.056640136543360246,0.030952063260583737,0.0,0.008499919197960297,-0.0003997241895437493
boreas-2020-11-26-13-58,savgol_w7p3,10755,0.09999990463256836,2.61852795935269e-06,0.05656048930710291,0.022076833031692604,0.0,0.012348201775244844,-0.00041620902750645855
boreas-2020-11-26-13-58,smoothing_spline,10755,0.09999990463256836,0.0025333697258704824,0.3809247765041395,0.002366169571124392,0.0,0.5780018452230129,0.0009024733536888794
boreas-2020-11-26-13-58,family_a_W3,10755,0.09999990463256836,2.2483017578789344e-06,0.05656044591314851,0.022076976924388474,0.0,0.012347970938572927,-0.0004190576709474444
boreas-2020-11-26-13-58,family_a_W5,10755,0.09999990463256836,8.996288588525303e-07,0.056457825019283654,0.010613896155566445,0.0,0.023387622754794193,-0.0004432791920159366
boreas-2020-11-26-13-58,family_a_W7,10755,0.09999990463256836,1.7180729917631865e-06,0.05660138598438205,0.006876219043510414,0.0,0.031170194129802088,-0.0004495765699447808
boreas-2020-11-26-13-58,family_a_midspan_W5,10755,0.09999990463256836,5.923159527743138e-06,0.061621714534564914,0.0067910410834508125,0.0,0.04386689962801849,-0.00039078184856177985
boreas-2021-06-17-17-52,forward,12749,0.10000014305114746,4.011080356747243e-11,0.04559754349327262,0.029561829305116204,0.0,0.04642531425428588,-0.0005810952521130309
boreas-2021-06-17-17-52,central,12749,0.10000014305114746,1.9053872862717647e-05,0.04484940892512213,0.023835787462321244,0.0,0.01150514985928266,-0.0007566337554007792
boreas-2021-06-17-17-52,cubic_global,12749,0.10000014305114746,7.823998062317372e-06,0.04472439314933285,0.030315972742151934,0.0,0.009271094703189719,-0.0005816237482542111
boreas-2021-06-17-17-52,savgol_w7p3,12749,0.10000014305114746,5.20921932944951e-06,0.044556232619354284,0.02214971502694951,0.0,0.01258166005731885,-0.0005988194921111183
boreas-2021-06-17-17-52,smoothing_spline,12749,0.10000014305114746,0.007896346141347932,0.5079259482060468,0.002931680082507144,0.0,0.6507789622408398,0.03256004381171394
boreas-2021-06-17-17-52,family_a_W3,12749,0.10000014305114746,3.1127467838842904e-06,0.04455613203310738,0.02214956107152194,0.0,0.01258205267200814,-0.0006124468170437151
boreas-2021-06-17-17-52,family_a_W5,12749,0.10000014305114746,6.511659444430329e-06,0.04399656416270051,0.011011477817064765,0.0,0.023219999225472014,-0.0006769378628646971
boreas-2021-06-17-17-52,family_a_W7,12749,0.10000014305114746,1.4649430055357904e-05,0.043431590644710076,0.007495901663088305,0.0,0.030816409706507338,-0.0007315463858626086
boreas-2021-06-17-17-52,family_a_midspan_W5,12749,0.10000014305114746,9.079033335801512e-06,0.05573327014375473,0.007035826405332309,0.0,0.04427403470620398,-0.0006288221914965949
boreas-2021-09-02-11-42,forward,10736,0.10000014305114746,8.146261443187086e-11,0.0742608193955709,0.03085420105088162,0.0,0.04695754252152041,-0.00045857262027508404
boreas-2021-09-02-11-42,central,10736,0.10000014305114746,1.4262293547506744e-05,0.07374549199282598,0.024707816747179825,0.0,0.011989873219444705,-0.0005687504079615943
boreas-2021-09-02-11-42,cubic_global,10736,0.10000014305114746,4.883764108232214e-06,0.0735045639328538,0.03170780367897846,0.0,0.009468655174577593,-0.0004208454614676322
boreas-2021-09-02-11-42,savgol_w7p3,10736,0.10000014305114746,2.3693730697438298e-06,0.07344349483376238,0.022736361425617666,0.0,0.013260126409350812,-0.0004402696944816818
boreas-2021-09-02-11-42,smoothing_spline,10736,0.10000014305114746,0.003947034757701973,0.5453661054050328,0.0030914934048738556,0.0,0.6386574864233765,0.011192190491382568
boreas-2021-09-02-11-42,family_a_W3,10736,0.10000014305114746,1.0822212108685392e-06,0.07344339532537716,0.02273672094073765,0.0,0.013260334190894885,-0.0004502130035979802
boreas-2021-09-02-11-42,family_a_W5,10736,0.10000014305114746,5.561951276877863e-06,0.07334849837069725,0.010933340011869673,0.0,0.024482683186623087,-0.0005015401691838569
boreas-2021-09-02-11-42,family_a_W7,10736,0.10000014305114746,8.848863242150173e-06,0.07339751743061042,0.007353047246509716,0.0,0.0320922026414589,-0.0005269318788242383
boreas-2021-09-02-11-42,family_a_midspan_W5,10736,0.10000014305114746,4.4676314314706644e-06,0.08330002353438694,0.007109385723213614,0.0,0.045497665053103466,-0.00042406124846340083
