run,mode,method,n,dt_med,m1_path_len_err,m3_low_speed_rms,m4_smooth,m4_lag_s,m8_rmse_vs_ins,m8_bias
2014-11-25-09-18-32,rtk,forward,23921,0.09846900000002279,0.0007402759936376846,2.8499544419836407,4.830832052417608,0.0,2.149771628745631,0.11462370153236552
2014-11-25-09-18-32,rtk,central,23921,0.09846900000002279,0.003938805378765342,1.9594301416758761,1.9426706923212174,0.0,1.5307307028046964,0.09537483622132704
2014-11-25-09-18-32,rtk,cubic_global,23921,0.09846900000002279,0.009136630982715221,2.7249624806326542,2.0384776948872156,0.0,2.0287509251991005,0.13705916093598106
2014-11-25-09-18-32,rtk,savgol_w7p3,23921,0.09846900000002279,0.013715319927083192,1.716251834378077,1.0401712004127248,0.0,1.3738264254496944,0.15036473924809313
2014-11-25-09-18-32,rtk,smoothing_spline,23921,0.09846900000002279,0.0029133649960577657,0.8247624738363254,0.033710600936320056,-0.09846900000002279,0.6811988646413667,0.08167196288787394
2014-11-25-09-18-32,rtk,family_a_W3,23921,0.09846900000002279,0.0028261416533830186,1.7112872572035043,1.0532953474801674,0.0,1.3814407218678368,0.09384384506805156
2014-11-25-09-18-32,rtk,family_a_W5,23921,0.09846900000002279,0.007930765608227475,1.3023810349703688,0.551612790507726,0.0,1.0348759221307202,0.07153205867551789
2014-11-25-09-18-32,rtk,family_a_W7,23921,0.09846900000002279,0.009192881119817642,1.1130266107042004,0.2899806608630343,0.0,0.8500763680556792,0.0618156320366103
2014-11-25-09-18-32,rtk,family_a_midspan_W5,23921,0.09846900000002279,0.0014280091195569833,1.21344030694555,0.4332638102028934,0.0,0.9220210261602318,0.08636550535610217
2014-12-09-13-21-02,rtk,forward,23601,0.09846600000014405,0.0007938722082092564,0.07224704427884221,0.3820202854057516,0.0,0.2800744038480125,0.00988946015961057
2014-12-09-13-21-02,rtk,central,23601,0.09846600000014405,2.3113622083625884e-05,0.07191169593289341,0.22643263807637937,0.0,0.23863290985280303,0.006773204286508897
2014-12-09-13-21-02,rtk,cubic_global,23601,0.09846600000014405,0.0008353130970286671,0.07206180653899111,0.36527255891329796,0.0,0.28467021717648927,0.011490168422072171
2014-12-09-13-21-02,rtk,savgol_w7p3,23601,0.09846600000014405,0.015574351122096264,0.07270191655487047,0.0056698289900039625,0.0,0.07707518910372389,0.05700322383999895
2014-12-09-13-21-02,rtk,smoothing_spline,23601,0.09846600000014405,0.00615012094999412,0.36680676125219724,0.002194784569552327,-0.1969320000002881,0.4910738608113615,0.019641259210178178
2014-12-09-13-21-02,rtk,family_a_W3,23601,0.09846600000014405,0.0011024026290350486,0.07180815681551934,0.17367597773262297,0.0,0.23714145090114977,0.002446838291670556
2014-12-09-13-21-02,rtk,family_a_W5,23601,0.09846600000014405,0.0015946220855310722,0.07150117342011364,0.09544540215284807,0.0,0.15058761435898038,-0.0025786933841989005
2014-12-09-13-21-02,rtk,family_a_W7,23601,0.09846600000014405,0.000453673497370799,0.07125092738185464,0.029760187123191072,0.0,0.052298272595830995,-0.0020596726204532446
2014-12-09-13-21-02,rtk,family_a_midspan_W5,23601,0.09846600000014405,0.0006062997465963171,0.0732751487995459,0.045031035556164875,0.0,0.06247470799411456,-0.0012358068638171902
2015-02-13-09-16-26,rtk,forward,22101,0.10476199999993696,0.0019057667360293795,0.047146482292359446,0.6090284172424618,0.0,0.4453252758724389,0.027253208001055722
2015-02-13-09-16-26,rtk,central,22101,0.10476199999993696,2.0934887972057226e-05,0.04612865121420659,0.4181510281009122,0.0,0.37240965722050196,0.018959961648128625
2015-02-13-09-16-26,rtk,cubic_global,22101,0.10476199999993696,0.0018626761763667066,0.046219498323748026,0.6190954177161122,0.0,0.4610064566794786,0.03128342619578829
2015-02-13-09-16-26,rtk,savgol_w7p3,22101,0.10476199999993696,0.045457561820391956,0.04335071314628108,0.007286312432913698,0.0,0.23151629129358137,-0.18910556864873793
2015-02-13-09-16-26,rtk,smoothing_spline,22101,0.10476199999993696,0.007576556827300518,0.44355210392405714,0.0030737795969738627,-0.10476199999993696,0.5174165802719886,0.027603116470591604
2015-02-13-09-16-26,rtk,family_a_W3,22101,0.10476199999993696,0.00257526566821098,0.04574762038811675,0.2919596318754581,0.0,0.3414071238190521,0.006364269676802658
2015-02-13-09-16-26,rtk,family_a_W5,22101,0.10476199999993696,0.0016602231979817583,0.045634101548232706,0.09040180414713091,0.0,0.22273355219545157,0.001287427266900556
2015-02-13-09-16-26,rtk,family_a_W7,22101,0.10476199999993696,0.0011042240859177044,0.04597111791045866,0.0544779555556554,0.0,0.17246762000802482,-0.0011967636260201192
2015-02-13-09-16-26,rtk,family_a_midspan_W5,22101,0.10476199999993696,6.406072932541029e-05,0.05341615824989523,0.058972737874617216,0.0,0.0984904729113595,-0.001400123090345897
