sequence,n_frames,duration_s,central_M2,central_M3sm,central_M4,family_a_W5_M2,family_a_W5_M3sm,family_a_W5_M4,family_a_W7_M2,family_a_W7_M3sm,family_a_W7_M4,central_diff_jerk_RMS
urban00,11874,1570.4658715724945,0.28584550473581033,0.017802945839244754,0.07396657187474301,0.29856099842062567,0.008166781654478199,0.07518970064554001,0.3172124523588808,0.00832887611660571,0.07663258783094552,0.017802945839244754
urban01,13681,1578.9328145980835,0.2771924798157229,0.017260975387965595,0.06807669553948008,0.2791177666263075,0.007779926654791062,0.0687154071725865,0.2870042325334013,0.008048226560266795,0.0691342701728129,0.017260975387965595
urban02,8871,905.083577632904,0.3461877927637068,0.018981102043438045,0.03315936391403891,0.35293954490161905,0.007098417964730115,0.03535084769014678,0.34813851509946386,0.0056054918814757064,0.03618329537071073,0.018981102043438045
urban03,9000,925.8157541751862,0.30890266424086216,0.015864959681063474,0.026097830936040393,0.30819704082225213,0.007676802663674215,0.02784890357624647,0.30760591697050604,0.00649419304353632,0.029122339226196954,0.015864959681063474
urban04,21503,2775.454201698303,0.28754955431114826,0.021048121787618158,0.06416169389616966,0.3000443734763994,0.008390482534293722,0.06570570297392245,0.31451656507254677,0.008367736216257166,0.06694894693533888,0.021048121787618158
urban05,7118,825.7474057674408,0.19438793529735987,0.015518411612313269,0.03818685274893331,0.23001167839454692,0.0056221910745232655,0.03992244669419399,0.2549766325091124,0.004971782679389488,0.04115634512637357,0.015518411612313269
urban07,4442,555.9748566150665,0.23301205647059614,0.02535648931030654,0.05614350265287826,0.24541001156087244,0.010037478797333516,0.05913920288529745,0.25619477281929987,0.008974364284705414,0.06022054073103649,0.02535648931030654
urban08,2872,292.84563088417053,,0.027942504227855356,0.047544226787721224,,0.009061199360617016,0.05146420815337663,,0.006511178703380627,0.05302039441487863,0.027942504227855356
urban11,7884,864.4563219547272,0.24367211992278015,0.24728614268635077,0.20982224329106097,0.24802005690542095,0.06184016668470459,0.269626980130135,0.2641538590224871,0.03281789206606823,0.2822608114115479,0.24728614268635077
