run,mode,method,n,dt_med,m1_path_len_err,m3_low_speed_rms,m4_smooth,m4_lag_s,m8_rmse_vs_ins,m8_bias
2014-11-11-11-06-25,rtk,forward,18761,0.09846199999998362,0.0007926757703660137,0.07195250274691217,0.45217280878197,0.0,0.33129232585451596,0.012645175778302348
2014-11-11-11-06-25,rtk,central,18761,0.09846199999998362,2.0635619596531818e-05,0.07162166685552535,0.2679593763587886,0.0,0.28216797756950657,0.008567628042049108
2014-11-11-11-06-25,rtk,cubic_global,18761,0.09846199999998362,0.0008373224025304271,0.07164705374186998,0.4323333824944545,0.0,0.3366634739325125,0.014692998972009734
2014-11-11-11-06-25,rtk,savgol_w7p3,18761,0.09846199999998362,0.01562540372905974,0.07285547529256411,0.006843068349407049,0.0,0.0899476983061103,0.07409939775665304
2014-11-11-11-06-25,rtk,smoothing_spline,18761,0.09846199999998362,0.00518908229450199,0.46511847689580144,0.003204007028813765,0.0,0.5435861761664931,0.019672658436450566
2014-11-11-11-06-25,rtk,family_a_W3,18761,0.09846199999998362,0.0010987564937436911,0.07145418062831271,0.2054877217582718,0.0,0.2804005769043872,0.002950423194942535
2014-11-11-11-06-25,rtk,family_a_W5,18761,0.09846199999998362,0.0015743328127010292,0.07140589459941547,0.11287517914297028,0.0,0.17792598515984667,-0.0035121939054623555
2014-11-11-11-06-25,rtk,family_a_W7,18761,0.09846199999998362,0.00040130592714038293,0.07154791736063114,0.035274718836458725,0.0,0.061310012736372245,-0.002697458658644803
2014-11-11-11-06-25,rtk,family_a_midspan_W5,18761,0.09846199999998362,0.0006023690710275087,0.07534372204810719,0.053278415964575734,0.0,0.07375708650219324,-0.0018785145778580207
2014-12-05-11-09-10,rtk,forward,2940,0.1047789999999793,0.002024672889488821,0.04575588814899868,0.6832295682961006,0.0,0.49817099182639235,0.02832537378697222
2014-12-05-11-09-10,rtk,central,2940,0.1047789999999793,2.097551479740556e-05,0.044757042770405625,0.4687608523938463,0.0,0.41598408086305877,0.018842178348342897
2014-12-05-11-09-10,rtk,cubic_global,2940,0.1047789999999793,0.0018643344566680042,0.044704019793598594,0.6938973364277157,0.0,0.5155635175995674,0.031560671884801834
2014-12-05-11-09-10,rtk,savgol_w7p3,2940,0.1047789999999793,0.04559490534796384,0.042409617858306166,0.008938917996604609,0.0,0.2607039456779472,-0.19565226810625308
2014-12-05-11-09-10,rtk,smoothing_spline,2940,0.1047789999999793,0.010029551046817353,0.38814464640099733,0.004651539377655867,0.0,0.474234512481547,0.05211475207367706
2014-12-05-11-09-10,rtk,family_a_W3,2940,0.1047789999999793,0.002581433848561354,0.04456428192544243,0.32752531170385885,0.0,0.38112753859717324,0.005878395880147204
2014-12-05-11-09-10,rtk,family_a_W5,2940,0.1047789999999793,0.0016536770016908342,0.04453639684492697,0.10104156007787421,0.0,0.2471704879148684,0.0006584281244869124
2014-12-05-11-09-10,rtk,family_a_W7,2940,0.1047789999999793,0.0010573827282640558,0.04438601337755902,0.06076171577962434,0.0,0.19072408338923166,-0.0019373895981841516
2014-12-05-11-09-10,rtk,family_a_midspan_W5,2940,0.1047789999999793,6.224667817278373e-05,0.050347208949108824,0.06610045744373537,0.0,0.10726282667724514,-0.002465317939130824
2015-02-13-09-16-26,rtk,forward,22101,0.10476199999993696,0.0019057667360293795,0.047146482292359446,0.6090284172424618,0.0,0.4453252758724389,0.027253208001055722
2015-02-13-09-16-26,rtk,central,22101,0.10476199999993696,2.0934887972057226e-05,0.04612865121420659,0.4181510281009122,0.0,0.37240965722050196,0.018959961648128625
2015-02-13-09-16-26,rtk,cubic_global,22101,0.10476199999993696,0.0018626761763667066,0.046219498323748026,0.6190954177161122,0.0,0.4610064566794786,0.03128342619578829
2015-02-13-09-16-26,rtk,savgol_w7p3,22101,0.10476199999993696,0.045457561820391956,0.04335071314628108,0.007286312432913698,0.0,0.23151629129358137,-0.18910556864873793
2015-02-13-09-16-26,rtk,smoothing_spline,22101,0.10476199999993696,0.007576556827300518,0.44355210392405714,0.0030737795969738627,-0.10476199999993696,0.5174165802719886,0.027603116470591604
2015-02-13-09-16-26,rtk,family_a_W3,22101,0.10476199999993696,0.00257526566821098,0.04574762038811675,0.2919596318754581,0.0,0.3414071238190521,0.006364269676802658
2015-02-13-09-16-26,rtk,family_a_W5,22101,0.10476199999993696,0.0016602231979817583,0.045634101548232706,0.09040180414713091,0.0,0.22273355219545157,0.001287427266900556
2015-02-13-09-16-26,rtk,family_a_W7,22101,0.10476199999993696,0.0011042240859177044,0.04597111791045866,0.0544779555556554,0.0,0.17246762000802482,-0.0011967636260201192
2015-02-13-09-16-26,rtk,family_a_midspan_W5,22101,0.10476199999993696,6.406072932541029e-05,0.05341615824989523,0.058972737874617216,0.0,0.0984904729113595,-0.001400123090345897
2015-03-24-13-47-33,rtk,forward,22321,0.09847850000005565,0.0007767400960723148,0.06626661302699591,0.3778349228081177,0.0,0.2768442232396751,0.010623365399163425
