scene,method,n,dt_med,m1_path_len_err,m3_low_speed_rms,m4_smooth,m4_lag_s,m8_rmse_vs_can,m8_bias
scene-0001,forward,193,0.10003150000000005,0.0010046620815642449,,0.13821077989951336,0.0,0.12342598714608576,0.05871591372730982
scene-0001,central,193,0.10003150000000005,2.03719136803171e-05,,0.06860177297638306,0.0,0.10809407692162255,0.05233391518207375
scene-0001,cubic_global,193,0.10003150000000005,2.1668164924992794e-05,,0.11106867679593144,0.0,0.11693204506038551,0.05233755933745201
scene-0001,savgol_w7p3,193,0.10003150000000005,0.010565790894369265,,0.1657327016898626,0.0,0.21020362521593663,0.10874512982580757
scene-0001,smoothing_spline,193,0.10003150000000005,0.012004676028258943,,0.005510325878209764,0.0,0.30893977932239797,0.05361435999193087
scene-0001,family_a_W3,193,0.10003150000000005,0.00011834984175651542,,0.04988447005543473,0.0,0.10678959442928972,0.052598873115874675
scene-0001,family_a_W5,193,0.10003150000000005,8.680847877640119e-06,,0.021242760689120156,0.0,0.09824324860954373,0.053112564972335574
scene-0001,family_a_W7,193,0.10003150000000005,2.0754931233435414e-05,,0.011709965460497964,0.0,0.09338237243871446,0.05320253850884657
scene-0001,family_a_midspan_W5,193,0.10003150000000005,0.0002444448257413745,,0.013030178781750742,0.0,0.07972970323086019,0.05401006557870642
scene-0061,forward,188,0.10005900000000167,0.004037652144476156,,0.1676325377567553,0.0,0.1017126858562062,-0.00804779202332097
scene-0061,central,188,0.10005900000000167,1.7581903235197593e-05,,0.07960295069327472,0.0,0.0887494538992324,0.010383771519995312
scene-0061,cubic_global,188,0.10005900000000167,6.216328027186524e-05,,0.14306334449288055,0.0,0.10205321889199348,0.010078963190999294
scene-0061,savgol_w7p3,188,0.10005900000000167,0.02148376189138501,,0.2196245112082173,0.0,0.2666069763010292,0.11187896152920879
scene-0061,smoothing_spline,188,0.10005900000000167,0.0038316462953706942,,0.003734525536180676,0.0,0.19843756271924107,-0.0057656721312481125
scene-0061,family_a_W3,188,0.10005900000000167,0.00014682554760381272,,0.05187386925374225,0.0,0.08650285384158674,0.0109005029494422
scene-0061,family_a_W5,188,0.10005900000000167,5.93310817162962e-05,,0.022166700062150844,0.0,0.07460312655743499,0.010748720789350219
scene-0061,family_a_W7,188,0.10005900000000167,0.0001257507407956826,,0.012075212130614724,0.0,0.06627441103644957,0.010663228327317791
scene-0061,family_a_midspan_W5,188,0.10005900000000167,2.3284953776903095e-05,,0.012615670726709756,0.0,0.05554947616770534,0.010429925623924979
scene-0103,forward,194,0.10000499999999946,0.00014386805376620515,,0.13116210244752702,0.0,0.2198756674372106,0.09257928131819418
scene-0103,central,194,0.10000499999999946,2.6440037863562083e-06,,0.07167783815787625,0.0,0.17991073118585046,0.09353022574503979
scene-0103,cubic_global,194,0.10000499999999946,9.10452898894576e-06,,0.11867004560700274,0.0,0.1857914762081664,0.09365442020226503
scene-0103,savgol_w7p3,194,0.10000499999999946,0.001226974022897176,,0.07371774697994715,0.0,0.1916756833799672,0.10042867476424691
scene-0103,smoothing_spline,194,0.10000499999999946,0.021062105173131895,,0.007881647298167793,0.10000499999999946,0.7606378443082603,0.10737584396715778
scene-0103,family_a_W3,194,0.10000499999999946,5.001234081192241e-05,,0.04779948391894015,0.0,0.17927729635638567,0.09349174518800146
scene-0103,family_a_W5,194,0.10000499999999946,3.803853068928831e-05,,0.020702405085765926,0.0,0.17570303777936405,0.0934998795572593
scene-0103,family_a_W7,194,0.10000499999999946,2.6603950170400736e-05,,0.013815305042121655,0.0,0.17312502372881594,0.0933608885809173
scene-0103,family_a_midspan_W5,194,0.10000499999999946,8.592961562947643e-05,,0.013692167041661594,0.0,0.15885523734522375,0.09375890061207143
scene-0500,forward,195,0.0999990000000004,0.00010287141814746548,,0.15191593858522173,0.0,0.1498476912428001,0.06425776537176756
scene-0500,central,195,0.0999990000000004,2.196474586269037e-05,,0.07104486655233785,0.0,0.1297970315470157,0.06378411066814027
scene-0500,cubic_global,195,0.0999990000000004,1.433129462180549e-05,,0.12623746415375012,0.0,0.13804145390273204,0.0638307340811954
scene-0500,savgol_w7p3,195,0.0999990000000004,0.009773277104241362,,0.17499527410748733,0.0,0.22545950838303686,0.12299806519044852
scene-0500,smoothing_spline,195,0.0999990000000004,0.00025297503151611167,,0.004233261027042212,0.0,0.3345331701108001,0.06289688300709659
scene-0500,family_a_W3,195,0.0999990000000004,5.735923164484902e-05,,0.05123528365027002,0.0,0.12957926381535587,0.06405122823025479
scene-0500,family_a_W5,195,0.0999990000000004,4.98787553362412e-05,,0.0232666363707627,0.0,0.12154633433153321,0.06372958486450626
scene-0500,family_a_W7,195,0.0999990000000004,6.633496680907847e-05,,0.013654847059030799,0.0,0.11561271464733065,0.06394343206418199
scene-0500,family_a_midspan_W5,195,0.0999990000000004,0.0001661340199998751,,0.012332492630375818,0.0,0.10148959658722212,0.0628387959153177
scene-0750,forward,195,0.10000600000000004,0.007496641746246091,0.038767389542731616,0.10436797299916577,0.0,0.11410458273703597,0.0420524860637705
scene-0750,central,195,0.10000600000000004,0.00017590865877803452,0.036228005034909014,0.0460751532220562,0.0,0.09094678609739214,0.029945525388713447
scene-0750,cubic_global,195,0.10000600000000004,0.0001060668072537796,0.03627657271606521,0.0806035828792905,0.0,0.09535437144891819,0.030032586161022196
scene-0750,savgol_w7p3,195,0.10000600000000004,0.009026614849650283,0.03602343129774302,0.0625771294225849,0.0,0.1122836706789416,0.03715498105379256
scene-0750,smoothing_spline,195,0.10000600000000004,0.10881501135961669,0.32411078866517806,0.003551597362996363,0.0,0.418013121854899,0.13191002814434782
scene-0750,family_a_W3,195,0.10000600000000004,3.503323046483153e-05,0.035993397058214284,0.03240891224945704,0.0,0.09092356841978395,0.030349247789579478
scene-0750,family_a_W5,195,0.10000600000000004,0.00020001699370264525,0.035165925391092874,0.01689718949000802,0.0,0.08705397133209425,0.030448958158345488
scene-0750,family_a_W7,195,0.10000600000000004,0.0002253215876386605,0.036299376489804136,0.01055557189222329,0.0,0.08456040977337531,0.03062145337530264
