sequence,n_frames,central_M2,central_M3sm,central_M4_vs_vhoriz,central_M4_vs_vf,family_a_W5_M2,family_a_W5_M3sm,family_a_W5_M4_vs_vhoriz,family_a_W5_M4_vs_vf,family_a_W7_M2,family_a_W7_M3sm,family_a_W7_M4_vs_vhoriz,family_a_W7_M4_vs_vf
2013_05_28_drive_0000_sync,11518,0.12682922246059689,0.020346146638300602,0.05830312701351051,0.23082308586968658,0.12928592099270314,0.013190179298953313,0.05792178176048771,0.23070395105045696,0.13097021917730173,0.01162372957606864,0.05808703536611857,0.23051312876296987
2013_05_28_drive_0002_sync,19240,0.1994235897342809,0.06981963812553453,0.23907627285074107,0.7237253351275046,0.19886512972640835,0.02774165234400881,0.23525657496425506,0.7225705205965585,0.2002210659441899,0.021278443933878895,0.2294348054804132,0.7205459726761224
2013_05_28_drive_0003_sync,1031,,0.02119408689387914,0.05329196151382435,0.05331297918419288,,0.012236292471713898,0.05271034886085639,0.05272961074584032,,0.011114104545100707,0.052768088505744826,0.05278518765063574
2013_05_28_drive_0004_sync,11587,0.1818776302271879,0.02219668961029674,0.06525578649219572,0.586957805258478,0.18325373927724242,0.014298163433670569,0.06466077397734828,0.5869489451810717,0.18373961529844662,0.01274248250553709,0.06462427577407605,0.5868507972958653
2013_05_28_drive_0005_sync,6743,0.19292233593850647,0.023772549803760337,0.06522757803670946,0.22521766772818305,0.1931873031239827,0.016124480334830976,0.06469612035128547,0.2250912301571949,0.18760496094100815,0.014258714208237634,0.06486773396262525,0.22483662036445481
2013_05_28_drive_0006_sync,9699,0.21880041273344203,0.0269844004503372,0.07974534760648075,0.3537339230148743,0.220444868648274,0.015068990610174112,0.07864764897075331,0.35353564943331506,0.22505548949591145,0.012786968291526356,0.07795479928661919,0.3530907123167045
2013_05_28_drive_0007_sync,3396,0.21118866733933703,0.0193915154475323,0.04800005480206832,0.07395394236797267,0.2108678105361939,0.009299819570294878,0.04694529743753984,0.07326290180543707,0.21076154219542745,0.008285234134347941,0.04677006457028746,0.07314442187730684
2013_05_28_drive_0009_sync,14051,0.15879435803463676,0.023482717326393177,0.06812490646919693,0.17195693397684725,0.15600423825788864,0.015270356139494914,0.06751509408493729,0.17169611603376259,0.15743709155748153,0.013834481350084646,0.06749241631498912,0.17101835784975292
2013_05_28_drive_0010_sync,3836,0.10789309804816757,0.042163941908044685,0.10255251853440737,0.23641666144634427,0.1073381793971838,0.018879839901692397,0.0990594015661824,0.23486193255957497,0.10742771039713066,0.013709660985592719,0.09622905950139997,0.23347448039894184
