method,rms_med,rms_q1,rms_q3,p95_med,p99_med,psd_low_med,psd_mid_med,psd_high_med
INS_ref,0.5865740985966326,0.5462606646662701,0.6339576003768169,1.286208816429557,1.94747105346777,1.9667628147065086,0.0010397466086324843,0.00011060079067881797
central,0.8115021214155618,0.6298329171728447,1.1061238742007216,1.4956313166417576,2.226794250259621,1.9770591714931638,0.002555340662107311,0.0006711720702080639
famA_W5,0.6032319983194633,0.5365462496267046,0.6526584723874058,1.2532880225769323,1.8499992896081547,1.9777684675203422,0.0012857286580826232,1.8212416608021492e-05
famA_W7,0.5765210633471433,0.5185273435836303,0.6245296330072332,1.212558535568872,1.8284039131944945,1.9776809509702498,0.0008086849222787014,4.617841395112007e-06
