sequence,method,n,dt_med,m1_path_len_err,m3_low_speed_rms,m4_smooth,m4_lag_s,m8_rmse_vs_ins,m8_bias_vs_ins
bridge01,forward,21439,0.10000012800003333,1.1326630122709958e-07,0.0454561829672107,0.4305562222389406,0.0,0.14143045829115197,-0.0009138800800897078
bridge01,central,21439,0.10000012800003333,8.487844296856117e-06,0.04527822727578567,0.15812969569513002,0.0,0.06925189212541945,-0.0005794745128152606
bridge01,cubic_global,21439,0.10000012800003333,1.8886739250323359e-06,0.04528208289291854,0.322374701231359,0.0,0.11578650181155975,-0.00046719127387969664
bridge01,savgol_w7p3,21439,0.10000012800003333,2.7709331115177704e-06,0.045148074982046794,0.09077853138504219,0.0,0.05416271332128902,-0.0005363678046654444
bridge01,smoothing_spline,21439,0.10000012800003333,0.00228549647799281,0.506141588484398,0.0015669493642938455,0.0,0.5153533013778144,0.024212570223121063
bridge01,family_a_W3,21439,0.10000012800003333,2.351440521963788e-06,0.045148022432018514,0.0866755371696714,0.0,0.05160207206081225,-0.0005159957987376576
bridge01,family_a_W5,21439,0.10000012800003333,4.3274210526078605e-06,0.044898275132637847,0.023671596808547087,0.0,0.03650801158135794,-0.0005396083912539358
bridge01,family_a_W7,21439,0.10000012800003333,4.9870624343473224e-06,0.044766051617172266,0.01576934029378931,0.0,0.037830968433979435,-0.0005479582068592287
bridge01,family_a_midspan_W5,21439,0.10000012800003333,7.831704527117012e-07,0.05072046239259804,0.019222147105798615,0.0,0.047333850672797086,-0.0004792752042472313
dcc05,forward,10810,0.09999897599999485,5.959653841536294e-07,0.026435064284967846,0.18476136077191632,0.0,0.20283584123607282,0.00018526682318038148
dcc05,central,10810,0.09999897599999485,5.7744987073338194e-05,0.025740490772521243,0.08467285457987905,0.0,0.1917315860657094,-0.00028561670649377823
dcc05,cubic_global,10810,0.09999897599999485,1.4286982656042113e-05,0.02578452648050525,0.1470769301458891,0.0,0.19815112658538173,7.168336312137138e-05
dcc05,savgol_w7p3,10810,0.09999897599999485,3.24902215380618e-05,0.025568545590653607,0.06418272479506794,0.0,0.1919367821677097,-0.0001752702396268765
dcc05,smoothing_spline,10810,0.09999897599999485,0.002305126934368351,0.3368049209419813,0.0012813579586262603,0.09999897599999485,0.5257313929850373,0.000766833870696422
dcc05,family_a_W3,10810,0.09999897599999485,3.1830817354694396e-05,0.025558636062715592,0.06137252936196924,0.0,0.19168303260307495,-0.0001644027635897515
dcc05,family_a_W5,10810,0.09999897599999485,8.346276589632495e-05,0.02533375579161658,0.028892522033436563,0.0,0.1874058403540731,-0.00042588674177206
dcc05,family_a_W7,10810,0.09999897599999485,0.0001262224330060846,0.025364646162444698,0.018294456754498065,0.0,0.18398331617957173,-0.0006453525935172609
dcc05,family_a_midspan_W5,10810,0.09999897599999485,1.3132088012013376e-05,0.03196320397003826,0.017175253729002356,0.0,0.15880835807694324,-8.278218755278104e-05
kaist05,forward,12477,0.09999897599988117,3.141930382533076e-08,0.10593284819940219,0.16201068930212933,0.0,0.06261827303191206,-0.0021103475752141314
kaist05,central,12477,0.09999897599988117,1.9802432988935692e-05,0.1051955976337952,0.06519410233753511,0.0,0.0284781938100593,-0.002354922424292005
kaist05,cubic_global,12477,0.09999897599988117,5.800550438861407e-06,0.10527591184608173,0.12206006540763632,0.0,0.044630348760365465,-0.0022093302460887577
kaist05,savgol_w7p3,12477,0.09999897599988117,6.453485644319912e-06,0.10510773061451599,0.04651954615996309,0.0,0.02605303042292329,-0.0022914826112617965
kaist05,smoothing_spline,12477,0.09999897599988117,0.001165483427646441,0.6802709030230055,0.0010896818690542258,-0.09999897599988117,0.5917855975002793,-0.016256265363349502
