W,degree,median,q1,q3
2,2,0.029004114847464825,0.02144962228518252,0.0378943244504291
2,3,0.0646446136361993,0.03410075924703816,0.10097910246291766
2,4,0.06464938644638732,0.034120798597753424,0.10100404337982244
2,5,0.06464938644638732,0.034120798597753424,0.10100404337982244
3,2,0.02640132741415187,0.024143698518370806,0.033467069037597656
3,3,0.03786963112408073,0.024007111140392803,0.055500240727850585
3,4,0.03786996993398159,0.024005964912806106,0.055498832586856305
3,5,0.0734688314088204,0.037729773334008024,0.11518630287195275
4,2,0.031040845105762056,0.024848500913393214,0.03737174835731146
4,3,0.03014641942779969,0.022175984743515804,0.03923691739679901
4,4,0.030147859491613783,0.022175537836073973,0.039237988848732086
4,5,0.04496814805880527,0.026847737055027,0.06878517101808497
5,2,0.03532659174854226,0.028823260540509293,0.04217188764873118
5,3,0.026290901943419875,0.023412707697069903,0.03448108512679669
5,4,0.026290980201797147,0.023410627251614444,0.03448139811166673
5,5,0.03561412429465831,0.02361390459642098,0.04955335619192136
6,2,0.03865775511089746,0.032777451099242544,0.04786274845928197
6,3,0.027826912973267264,0.02499249076168247,0.03544218190482844
6,4,0.027826676255059597,0.024991209929205605,0.035441694351819354
6,5,0.029775105718242295,0.0228464625910186,0.0387839511457386
7,2,0.04250224700829929,0.03706806922585383,0.05333000497013672
7,3,0.029114097932163685,0.02448772466963101,0.036588081287455554
7,4,0.02911341243292981,0.024488026504427954,0.036587647605744664
7,5,0.02786246331682896,0.023576738986303095,0.036415613619743124
9,2,0.05228245687790019,0.046424075541804034,0.06477541045930078
9,3,0.03313680599586574,0.025902484409528786,0.04004336895297494
9,4,0.03313649675582715,0.02590280641418362,0.04004320732496598
9,5,0.02882295134533949,0.02543406037697389,0.03653604539126199
12,2,0.07102384891172503,0.06201161995647768,0.08541802985565748
12,3,0.03682057061034463,0.029920683636761602,0.04601768274241024
12,4,0.036819726493945035,0.029920330185015262,0.04601796741045951
12,5,0.03249353453384007,0.024978326907172232,0.03871833350351094
