sequence,method,rms_accel,p95_accel,p99_accel,psd_low,psd_mid,psd_high
bridge01,INS_ref,0.7053412639322802,1.44928910650832,2.1463543699661978,3.760311922210385,0.0014821284696615847,0.0002206829265251101
bridge01,central,1.177046736974636,2.4466578781697033,4.19625028503981,3.762898511136537,0.002780191646363991,0.0027984564716903647
bridge01,famA_W5,0.6624571747073421,1.3654738999496896,2.012788297065481,3.763496851600592,0.001501117618420521,3.850377625618742e-05
bridge01,famA_W7,0.6375235016902143,1.3164965451024075,1.9238971600491774,3.763267126582887,0.0008841372608913801,1.5140915005213727e-05
dcc05,INS_ref,0.5441365952925352,1.2559063639494648,1.9057206469906565,1.816814534126326,0.0009930277290356281,0.00011278767418563114
dcc05,central,0.8933552858789785,1.5371861338565938,2.3381006829796345,1.8373636678197423,0.00829530194314453,0.000862449744764201
dcc05,famA_W5,0.6827620821353214,1.2721878700182374,2.186543376351021,1.8382923202144017,0.006813487397739251,2.6990193665720282e-05
dcc05,famA_W7,0.6310491064883353,1.255307109643499,2.195932190568503,1.8384079095103094,0.00545768448289014,6.5018822786539914e-06
kaist05,INS_ref,0.6384383590338258,1.3165112689096492,1.9477828486881368,1.4915553989312467,0.002501371417314327,0.00017434971145412177
kaist05,central,0.729648956952145,1.4540764994269213,2.1031470690312224,1.492248890688126,0.0032245836257347414,0.0004798943956519269
kaist05,famA_W5,0.5832016312113298,1.2343881751356272,1.6600948877589152,1.4929664635430275,0.002296659979492773,8.643070420907817e-06
kaist05,famA_W7,0.5480709141303599,1.1698099614942452,1.5867772827632443,1.4928120393788038,0.0013721429442801333,2.733800511570023e-06
riverside05,INS_ref,0.6205153244057902,1.393336877454699,1.9471592582474033,4.041718831504189,0.0006445855890136182,7.438466611762448e-05
riverside05,central,1.239930393028424,2.722583967707525,4.085051312164813,4.042941050624137,0.002330489677850631,0.0034556434077563664
riverside05,famA_W5,0.6232623654275967,1.3767460491135046,1.886202512011654,4.0434183947567846,0.0010703396977447255,3.607975868803555e-05
riverside05,famA_W7,0.6049712125639266,1.3583147334556456,1.885761501765764,4.043115562185664,0.0006027916059822516,2.0359292062034885e-05
roundabout01,INS_ref,0.5526328727874749,1.1990399712306534,1.9804426758593594,2.116711095286691,0.0009644671933173958,7.330419230101656e-05
roundabout01,central,0.5965609039130779,1.3166378184790772,2.115487817539607,2.116754675166585,0.0011499586043287736,0.00021224630891369654
roundabout01,famA_W5,0.5209944557651628,1.132992143290111,1.8137960672046554,2.1172446148262827,0.000801856738567878,4.521086939199875e-06
roundabout01,famA_W7,0.5086794867347204,1.1082119944406403,1.7710463246232246,2.11695399243019,0.0005426798927099588,1.42155195257603e-06
town01,INS_ref,0.4405125436217401,0.9489426483120583,1.3698296426400014,1.0099446527354663,0.0010864654882293404,0.00010841390717200481
town01,central,0.5216470071854683,1.1018399941968062,1.6935027696175735,1.011397121455346,0.0014061922086212526,0.0003480553655119549
town01,famA_W5,0.40212896913759677,0.8929543949455634,1.2303387398385441,1.0116948109844184,0.0010602971725470766,9.434639550322701e-06
town01,famA_W7,0.38340888617445906,0.8571363579869035,1.1874220493591756,1.011565717017314,0.0007332325836660226,2.2025266241177296e-06
